G4_network_standard,记录数,_id,attraction_title,back_Camera,body_color,comment_sum,forward_Camera,good_birth,good_card_support,good_name,good_weight,good_width,goods_detail12,goods_href,id,mobile_memory,手机品牌,mobile_name,moblie_system,network_standard,paras,phone_shop,photo_feature,power_size,previous_price,run_memory
无,1,5be6745b0d8c,【京东自营】康佳新品震撼上市 低辐射 大声音 收音机外放 精致小巧 无扣费软件 简易操作 ！,500万以下,黑色系,5700,无,中国大陆,无,康佳（KONKA）M2 夜空蓝 直板 按键 超长待机 移动联通2G 老人手机 学生备用功能机,无,8,"商品产地：中国大陆,系统：基础功能机系统,机身厚度：普通（8.5mm以上）,电池容量：1200mAh以下,机身颜色：黑色系,运行内存：2GB以下,前置摄像头像素：无,后置摄像头像素：500万以下,机身内存：支持内存卡,老人机配置：键盘,",/detail/6957420,6957420,支持内存卡,康佳,康佳（KONKA）M2,基础功能机系统,无,"后置摄像头：30万像素,前置摄像头：无,核数：单核,频率：0.2,",康佳手机京东自营官方旗舰店,无,1200mAh以下,0,2GB以下
VOLTE 4G通话,1,5be6745b0d8c,双频GPS，骁龙845更多推荐：,1200万-1999万,无,8000,2000万及以上,无,双卡双待双4G,小米（MI） 小米8 手机 黑色 全网通 6GB+128GB,380.00g,7,"商品毛重：380.00g,多卡支持：双卡双待双4G,机身厚度：薄（7mm-8.5mm）,拍照特点：后置双摄像头,电池容量：3000mAh-3999mAh,4G LTE网络特性：VOLTE 4G通话,热点：人工智能，人脸识别，快速充电,前置摄像头像素：2000万及以上,网络制式：4G LTE全网通,屏幕配置：符合全面屏比例,后置摄像头像素：1200万-1999万,老人机配置：智能机（老龄模式）,系统：安卓（Android）,",/detail/25533160226,25533160226,无,小米,小米（MI）,安卓（Android）,4G LTE全网通,"后置摄像头：双1200万像素,前置摄像头：2000万像素,核数：八核,频率：其他,",易道手机专营店,后置双摄像头,3000mAh-3999mAh,￥3999.00,无
无,1,5be6745b0d8c,可切换老人模式【京东配送】 ,500万-1199万,无,8900,200万-499万,无,双卡双待单4G,中兴（ZTE） 中兴 BA520（A520） 移动4G 智能老人手机 双卡双待 玄武灰 高配版（2GRAM+16GROM）,270.00g,无,"商品毛重：270.00g,系统：安卓（Android）,前置摄像头像素：200万-499万,多卡支持：双卡双待单4G,后置摄像头像素：500万-1199万,电池容量：2000mAh-2999mAh,老人机配置：智能机（老龄模式）,网络制式：4G LTE 移动LTE-TDD,",/detail/11349707569,11349707569,无,中兴,中兴（ZTE）,安卓（Android）,4G LTE 移动LTE-TDD,"后置摄像头：800万像素,前置摄像头：200万像素,核数：四核,频率：其他,",众盛手机专营店,无,2000mAh-2999mAh,￥500.00,无
其他,1,5be6745b0d8c,【京东仓储发货 货票同行】支持指纹识别支持移动联通双4G ,500万-1199万,金色系,5900,500万-799万,无,双卡双待单4G,酷派（Coolpad） 8737A 移动4G+ 全网通智能老人手机 双卡双待 锐志金 （2GRAM+16G ROM）,330.00g,无,"商品毛重：330.00g,多卡支持：双卡双待单4G,电池容量：2000mAh-2999mAh,4G LTE网络特性：其他,机身内存：16GB,运行内存：2GB,前置摄像头像素：500万-799万,网络制式：4G LTE 移动LTE-TDD,机身颜色：金色系,后置摄像头像素：500万-1199万,老人机配置：智能机（老龄模式）,系统：安卓（Android）,",/detail/12714906209,12714906209,16GB,酷派,酷派（Coolpad）,安卓（Android）,4G LTE 移动LTE-TDD,"后置摄像头：800万像素,前置摄像头：500万像素,核数：四核,频率：其他,",众盛手机专营店,无,2000mAh-2999mAh,￥699.00,2GB
移动4G+,1,5be6745b0d8c,【京东配送 货票同行】支持微信双开、内置老人桌面,1200万-1999万,无,9600,800万-1599万,无,双卡双待单4G,华为（HUAWEI） 华为 Nova 移动全网通4G 智能手机 双卡双待 香槟金（白）(4G RAM+64G ROM),410.00g,无,"商品毛重：410.00g,系统：安卓（Android）,网络制式：4G LTE 移动LTE-TDD,前置摄像头像素：800万-1599万,后置摄像头像素：1200万-1999万,多卡支持：双卡双待单4G,电池容量：3000mAh-3999mAh,老人机配置：智能机（老龄模式）,4G LTE网络特性：移动4G+,",/detail/17969544983,17969544983,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE 移动LTE-TDD,"后置摄像头：1200万像素,前置摄像头：800万像素,核数：八核,频率：-,",众盛手机专营店,无,3000mAh-3999mAh,￥1299.00,无
无,1,5be6745b0d8c,【11.11提前预约】10月20日交定金（不发货），预定价4999元，当天送3898元礼包,2000万及以上,无,4500,500万-799万,无,无,8848 钛金手机 M3尊享版【热卖爆款 立省5000元】 智能商务手机 全网通4G 双卡双待,1.85kg,8,"商品毛重：1.85kg,系统：安卓（Android）,机身厚度：普通（8.5mm以上）,拍照特点：光学变焦,后置摄像头像素：2000万及以上,电池容量：3000mAh-3999mAh,前置摄像头像素：500万-799万,热点：快速充电,",/detail/10485140959,10485140959,无,8848,8848,安卓（Android）,无,,8848手机官方旗舰店,光学变焦,3000mAh-3999mAh,0,无
其他,1,5be6745b0d8c,,2000万及以上,无,7100,800万-1599万,无,4G以下网络双卡双待,华为（HUAWEI） 华为Mate10 手机 亮黑色 全网通(6GB+128GB)高配版,0.6kg,7,"商品毛重：0.6kg,多卡支持：4G以下网络双卡双待,机身厚度：薄（7mm-8.5mm）,拍照特点：智能拍照，后置双摄像头,网络制式：4G LTE全网通,4G LTE网络特性：其他,热点：人工智能,前置摄像头像素：800万-1599万,游戏配置：游戏模式,后置摄像头像素：2000万及以上,老人机配置：智能机（老龄模式）,电池容量：4000mAh-5999mAh,",/detail/18168037707,18168037707,无,华为,华为（HUAWEI）,无,4G LTE全网通,"后置摄像头：2000+1200万像素,前置摄像头：800万像素,核数：其他,频率：以官网为准,",佳沪手机旗舰店,智能拍照，后置双摄像头,4000mAh-5999mAh,￥3999.00,无
其他,1,5be6745b0d8c,"【京东好店推荐】原装正品，全国联保，放心购买
【购机好礼】高配拍下立减300元加赠品牌自拍杆，影视会员，运费险等
【尊享权益】京东仓标准99%订单当天发，南北两仓发货，7天保价，货到付款
不仅有指纹解锁，更有诚意满满的面部解锁，双解锁更实用
全屏四摄，3D立体美妆，让你的美更美",无,无,6800,无,无,双卡双待单4G,华为（HUAWEI） 荣耀9青春版 全面屏手机 幻夜黑 全网通（4G RAM+64G ROM）尊享版,1.0kg,无,"商品毛重：1.0kg,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,4G LTE网络特性：其他,",/detail/22863424475,22863424475,无,华为,华为（HUAWEI）,无,4G LTE全网通,"后置摄像头：1300+200万像素,前置摄像头：1300万+200万像素,核数：八核,频率：以官网信息为准,",博海宇通手机旗舰店,无,无,0,无
无,1,5be6745c0d8c,【国行正品】下单送全屏钢化膜+保护套+指环扣  ,500万-1199万,无,1,120万-199万,无,单卡单待,Apple 苹果6  iPhone6 手机 金色 全网通 (32GB),0.6kg,7,"商品毛重：0.6kg,多卡支持：单卡单待,机身厚度：超薄（7mm以下）,拍照特点：智能拍照,网络制式：4G LTE全网通,电池容量：1200mAh-1999mAh,后置摄像头像素：500万-1199万,前置摄像头像素：120万-199万,",/detail/11394761163,11394761163,无,苹果,Apple,无,4G LTE全网通,"后置摄像头：800万像素,前置摄像头：其他,核数：其他,频率：1.4GHz,",佳沪手机旗舰店,智能拍照,1200mAh-1999mAh,￥1999.00,无
无,1,5be6745c0d8c,,500万以下,无,9600,200万-499万,无,无,诺基亚（NOKIA） 230DS  移动双卡双待2G备用直板手机老人手机 银白色（双卡）,200.00g,无,"商品毛重：200.00g,运行内存：2GB以下,前置摄像头像素：200万-499万,后置摄像头像素：500万以下,机身内存：支持内存卡,电池容量：1200mAh-1999mAh,",/detail/11297488460,11297488460,支持内存卡,诺基亚,诺基亚（NOKIA）,无,无,"后置摄像头：200万像素,前置摄像头：200万像素,核数：其他,频率：以官网信息为准,",京联通达旗舰店,无,1200mAh-1999mAh,￥399.00,2GB以下
无,1,5be6745c0d8c,前置1600万智能美颜，骁龙八核处理器,1200万-1999万,红色系,1,无,中国大陆,双卡双待单4G,联想 Lenovo S5全面屏双摄 4G+64G 全网通4G手机 双卡双待 烈焰红,无,7,"商品产地：中国大陆,多卡支持：双卡双待单4G,机身厚度：薄（7mm-8.5mm）,拍照特点：智能拍照，后置双摄像头,电池容量：3000mAh-3999mAh,机身颜色：红色系,热点：人工智能，人脸识别,运行内存：4GB,系统：安卓（Android）,游戏配置：游戏模式，游戏深度适配/调优,屏幕配置：符合全面屏比例,后置摄像头像素：1200万-1999万,机身内存：128GB,网络制式：4G LTE LTE-TDD/LTE-FDD移动联通双4G,",/detail/6864299,6864299,128GB,联想,联想,安卓（Android）,4G LTE LTE-TDD/LTE-FDD移动联通双4G,"后置摄像头：双1300万像素,前置摄像头：1600万像素,核数：八核,频率：2.0GHz,",联想手机京东自营官方旗舰店,智能拍照，后置双摄像头,3000mAh-3999mAh,0,4GB
其他,1,5be6745c0d8c,,无,无,1,无,无,单卡单待,诺基亚（NOKIA） 105 手机 老人机 学生机 老人手机 经典 新款黑色,180.00g,无,"商品毛重：180.00g,多卡支持：单卡单待,前置摄像头像素：无,网络制式：2G移动/联通,后置摄像头像素：无,电池容量：1200mAh以下,老人机配置：键盘,4G LTE网络特性：其他,",/detail/15245462402,15245462402,无,诺基亚,诺基亚（NOKIA）,无,2G移动/联通,"后置摄像头：无,前置摄像头：无,核数：其他,频率：其他,",京联通达旗舰店,无,1200mAh以下,￥159.00,无
无,1,5be6745c0d8c,【京东自营】2.4英寸高清大屏，一键求救，凸起按键，语音播报，支持收音机外放！,500万以下,金色系,1,无,中国大陆,4G以下网络双卡双待,天语（K-TOUCH）N1 移动/联通2G 双卡双待 按键直板 老人手机 学生备用功能机 金色,无,8,"商品产地：中国大陆,多卡支持：4G以下网络双卡双待,机身厚度：普通（8.5mm以上）,网络制式：2G移动/联通,机身颜色：金色系,运行内存：2GB以下,前置摄像头像素：无,机身内存：支持内存卡,电池容量：1200mAh-1999mAh,后置摄像头像素：500万以下,老人机配置：键盘,系统：基础功能机系统,",/detail/4526053,4526053,支持内存卡,天语,天语（K-TOUCH）N1,基础功能机系统,2G移动/联通,"后置摄像头：30万像素,前置摄像头：无,核数：其他,频率：其他,",天语手机京东自营官方旗舰店,无,1200mAh-1999mAh,0,2GB以下
无,1,5be6745c0d8c,"【京东配送 快速送达】电信专用
8800毫安电池 静默待机30天
一键强光手电筒
大音量 大按键 大字体
语音拨报  支持充电宝功能
【�7�87天无理由退货 1年用坏免费换】
",500万以下,黑色系,9000,无,中国大陆,单卡单待,纽曼（Newman）C9 电信天翼老人手机 三防老年手机超长待机 大音量备用机 直板按键功能机 电信橙,320.00g,8,"商品毛重：320.00g,商品产地：中国大陆,货号：C9,多卡支持：单卡单待,机身厚度：普通（8.5mm以上）,网络制式：2G电信,机身颜色：黑色系,热点：三防手机,前置摄像头像素：无,机身内存：支持内存卡,电池容量：6000mAh及以上,后置摄像头像素：500万以下,老人机配置：键盘,屏幕配置：OLED屏,",/detail/11656058665,11656058665,支持内存卡,纽曼,纽曼（Newman）C9,无,2G电信,"后置摄像头：30万像素,前置摄像头：其他,核数：其他,频率：无,",弗瑞尔手机专营店,无,6000mAh及以上,￥258.00,无
移动4G+,1,5be6745c0d8c,限时直降  买就送配件大礼包,500万-1199万,无,2100,500万-799万,中国大陆,双卡双待双4G,小格雷 S0学生手机智能儿童学习手机游戏管控 16G 移动联通电信全网通4G手机 双卡双待 白色,430.00g,无,"商品毛重：430.00g,商品产地：中国大陆,货号：GP-50,系统：安卓（Android）,前置摄像头像素：500万-799万,多卡支持：双卡双待双4G,后置摄像头像素：500万-1199万,电池容量：3000mAh-3999mAh,网络制式：4G LTE全网通,4G LTE网络特性：移动4G+,",/detail/10645983408,10645983408,无,other,小格雷,安卓（Android）,4G LTE全网通,"后置摄像头：800万像素,前置摄像头：500万像素,核数：四核,频率：1.3,",小格雷官方旗舰店,无,3000mAh-3999mAh,0,无
无,1,5be6745c0d8c,经典复刻，做自己享不同，语音播报，外放FM，精致工艺，舒适手感 ,500万以下,无,9000,无,中国大陆,无,诺亚信（NOAIN） 3310 老人手机 直板按键备用手机 移动联通2G 双卡双待 大字大声老人机 深蓝色,170.00g,8,"商品毛重：170.00g,商品产地：中国大陆,货号：3310,系统：基础功能机系统,机身厚度：普通（8.5mm以上）,前置摄像头像素：无,后置摄像头像素：500万以下,老人机配置：键盘,",/detail/25722468894,25722468894,无,other,诺亚信（NOAIN）,基础功能机系统,无,"后置摄像头：30万像素,前置摄像头：无,核数：其他,频率：功能系统,",诺亚信手机旗舰店,无,无,0,无
VOLTE 4G通话,1,5be6745c0d8c,现货速发 6.44英寸屏幕，骁龙625处理器！热卖,1200万-1999万,无,4500,500万-799万,无,双卡双待双4G,小米（MI） 小米MAX2 手机 6.44英寸 大屏幕 金色 全网通(4G RAM+64G ROM),500.00g,8,"商品毛重：500.00g,系统：安卓（Android）,机身厚度：普通（8.5mm以上）,前置摄像头像素：500万-799万,多卡支持：双卡双待双4G,后置摄像头像素：1200万-1999万,电池容量：4000mAh-5999mAh,网络制式：4G LTE全网通,4G LTE网络特性：VOLTE 4G通话,",/detail/12674083885,12674083885,无,小米,小米（MI）,安卓（Android）,4G LTE全网通,"后置摄像头：1200万像素,前置摄像头：500万像素,核数：八核,频率：以官网为准,",华顶聚瑞手机旗舰店,无,4000mAh-5999mAh,￥1599.00,无
无,1,5be6745c0d8c,【京东自营】国际大牌 老人机 老年手机 学生机 超长待机 一键拨号 语音播报 大声大字大屏！,500万以下,深蓝色系,1,无,中国大陆,无,飞利浦（PHILIPS）E183A 皇家蓝 国际品牌 直板按键 长待机 移动联通2G 双卡双待 老人手机 学生备用功能机,无,8,"商品产地：中国大陆,系统：基础功能机系统,机身厚度：普通（8.5mm以上）,电池容量：1200mAh-1999mAh,机身颜色：深蓝色系,运行内存：2GB以下,前置摄像头像素：无,后置摄像头像素：500万以下,机身内存：8GB以下,老人机配置：键盘,",/detail/6051834,6051834,8GB以下,飞利浦,飞利浦（PHILIPS）E183A,基础功能机系统,无,"后置摄像头：8万像素,前置摄像头：无,核数：其他,频率：其他,",飞利浦手机京东自营旗舰店,无,1200mAh-1999mAh,￥179.00,2GB以下
无,1,5be6745c0d8c,【京东配送 一年保修】大声音报名字读短信 6个一键拨号 待机长 通话质量好 支持移动4G卡,500万以下,无,8200,无,无,单卡单待,索爱 T618 移动/联通老人手机 直板按键老年手机 语音播报  超长待机 奢华金,216.00g,8,"商品毛重：216.00g,系统：基础功能机系统,机身厚度：普通（8.5mm以上）,前置摄像头像素：无,多卡支持：单卡单待,电池容量：1200mAh-1999mAh,后置摄像头像素：500万以下,网络制式：2G移动/联通,",/detail/12994519424,12994519424,无,other,索爱,基础功能机系统,2G移动/联通,"后置摄像头：30万像素,前置摄像头：无,核数：其他,频率：其他,",索爱手机旗舰店,无,1200mAh-1999mAh,￥219.00,无
VOLTE 4G通话,1,5be6745d0d8c,【京东物流】双频GPS，骁龙845，8周年旗舰 ,无,无,1,无,无,双卡双待单4G,小米（MI） 小米8 手机 全网通 蓝色 全网通 6GB+256GB,500.00g,无,"商品毛重：500.00g,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,4G LTE网络特性：VOLTE 4G通话,",/detail/28758228024,28758228024,无,小米,小米（MI）,无,4G LTE全网通,"后置摄像头：无,前置摄像头：其他,核数：其他,频率：以官网信息为准,",鹏路网络手机旗舰店,无,无,￥4299.00,无
其他,1,5be6745d0d8c,【京东直发正品保障】 一键锁屏  一键拨号 整点报时 电子书 8个亲情号码设置,500万以下,无,1600,无,无,单卡单待,纽曼（Newman） L99S电信2G 直板按键老人手机 黑色,220.00g,无,"商品毛重：220.00g,多卡支持：单卡单待,前置摄像头像素：无,网络制式：2G电信,电池容量：1200mAh以下,后置摄像头像素：500万以下,4G LTE网络特性：其他,",/detail/11026799140,11026799140,无,纽曼,纽曼（Newman）,无,2G电信,"后置摄像头：30万像素,前置摄像头：无,核数：其他,频率：其他,",诚信精品惠手机专营店,无,1200mAh以下,￥249.00,无
移动4G+,1,5be6745d0d8c,"★【京东物流 全国联保】【高配版加送10000mAh电源】送高品质音乐耳机+遇水开花情侣伞+二次强化钢化膜+防摔保护壳★ 

★爆款活动热卖专区★",1200万-1999万,无,1,无,无,双卡双待单4G,华为（HUAWEI） 荣耀9i手机 魅海蓝 全网通4+64G标配版,200.00g,7,"商品毛重：200.00g,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,拍照特点：后置双摄像头,电池容量：3000mAh-3999mAh,屏幕配置：防蓝光,4G LTE网络特性：移动4G+,热点：人脸识别,后置摄像头像素：1200万-1999万,前置摄像头像素：无,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,游戏配置：游戏模式,老人机配置：智能机（老龄模式）,",/detail/28245104634,28245104634,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：1300+200万像素,前置摄像头：1600万像素,核数：八核,频率：4*2.36GHz+4*1.7GHz,",恒大和旗舰店,后置双摄像头,3000mAh-3999mAh,0,无
VOLTE 4G通话,1,5be6745d0d8c,现货速发，骁龙845处理器，AI双摄双核极速对焦！,无,无,1,无,无,双卡双待单4G,小米（MI） mix2s 全网通手机 黑色 全网通 6G+128G,500.00g,无,"商品毛重：500.00g,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,4G LTE网络特性：VOLTE 4G通话,",/detail/26640335971,26640335971,无,小米,小米（MI）,无,4G LTE全网通,"后置摄像头：无,前置摄像头：其他,核数：其他,频率：以官网信息为准,",鹏路网络手机旗舰店,无,无,￥4099.00,无
无,1,5be6745d0d8c,18:9全面屏，升级版边框触控，3D水漾玻璃防水机身,1200万-1999万,黑色系,5800,800万-1599万,中国大陆,双卡双待单4G,HTC U11+ 极镜黑 6GB+128GB 移动联通电信全网通 全面屏游戏手机,无,8,"商品产地：中国大陆,系统：安卓（Android）,机身厚度：普通（8.5mm以上）,拍照特点：光学变焦，智能拍照,屏幕配置：符合全面屏比例,电池容量：3000mAh-3999mAh,后置摄像头像素：1200万-1999万,机身颜色：黑色系,热点：人工智能，快速充电,运行内存：6GB,前置摄像头像素：800万-1599万,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,游戏配置：ID差异化设计,机身内存：128GB,",/detail/5412115,5412115,128GB,HTC,HTC,安卓（Android）,4G LTE全网通,"后置摄像头：1200万像素,前置摄像头：800万像素,核数：八核,频率：4x2.45GHz + 4x1.9GHz,",HTC手机京东自营官方旗舰店,光学变焦，智能拍照,3000mAh-3999mAh,￥4299.00,6GB
无,1,5be6745d0d8c,"【京东自营】荣获2018德国红点设计大奖!时尚大屏,环保材质,送扩音充电底座,大按键大声音大字体,超长待机老年机,FM/MP3/蓝牙!",500万以下,无,1,无,中国大陆,无,飞利浦（PHILIPS） E331 古铜棕 带扩音充电底座 直板 按键 移动联通2G 双卡双待 老人手机 学生备用功能机,无,8,"商品产地：中国大陆,系统：基础功能机系统,机身厚度：普通（8.5mm以上）,电池容量：1200mAh-1999mAh,热点：快速充电,运行内存：2GB以下,前置摄像头像素：无,机身内存：8GB以下,后置摄像头像素：500万以下,老人机配置：体温计硬件支持,屏幕配置：曲面屏,",/detail/5402840,5402840,8GB以下,飞利浦,飞利浦（PHILIPS）,基础功能机系统,无,"后置摄像头：30万像素,前置摄像头：无,核数：其他,频率：其他,",飞利浦手机京东自营旗舰店,无,1200mAh-1999mAh,￥238.00,2GB以下
